Date,Open,High,Low,Close,Volume,Currency
2021-06-02,820.6922,839.2174,813.5866,817.9007,18946,BRL
2021-06-02,116278.47,118903.185,115271.73,115882.965,18946,CLP
2021-06-02,132.4,135.3886,131.2536,131.9496,18946,EUR
2021-06-02,161.7,165.35,160.3,161.15,18946,USD
2021-06-03,816.9698,823.0627,792.5977,800.214,25907,BRL
2021-06-03,115606.65,116468.85,112157.85,113235.6,25907,CLP
2021-06-03,132.662,133.6514,128.7044,129.9412,25907,EUR
2021-06-03,160.9,162.1,156.1,157.6,25907,USD
2021-06-04,797.0636,818.019,783.6824,816.2517,26824,BRL
2021-06-04,113304.73,116283.6,111402.56,116032.37,26824,CLP
2021-06-04,129.7211,133.1316,127.5434,132.844,26824,EUR
2021-06-04,157.85,162.0,155.2,161.65,26824,USD
2021-06-07,816.2972,825.3784,801.6664,807.9728,31178,BRL
2021-06-07,115829.384,117117.968,113753.332,114648.182,31178,CLP
2021-06-07,132.7245,134.2011,130.3457,131.371,31178,EUR
2021-06-07,161.8,163.6,158.9,160.15,31178,USD
2021-06-08,806.7098,815.0134,791.109,793.6252,30120,BRL
2021-06-08,115079.37,116263.905,112853.88,113212.83,30120,CLP
2021-06-08,131.6704,133.0257,129.1241,129.5348,30120,EUR
2021-06-08,160.3,161.95,157.2,157.7,30120,USD
2021-06-09,798.2932,807.9112,788.9283,795.7621,27098,BRL
2021-06-09,113446.226,114813.048,112115.373,113086.536,27098,CLP
2021-06-09,129.4559,131.0156,127.9373,129.0455,27098,EUR
2021-06-09,157.7,159.6,155.85,157.2,27098,USD
2021-06-10,798.9744,805.2934,791.8971,802.2602,34667,BRL
2021-06-10,113682.204,114581.304,112675.212,114149.736,34667,CLP
2021-06-10,129.8381,130.865,128.688,130.372,34667,EUR
2021-06-10,158.05,159.3,156.65,158.7,34667,USD
2021-06-11,816.6892,822.318,804.4081,805.6874,32759,BRL
2021-06-11,115151.4,115945.05,113419.8,113600.175,32759,CLP
2021-06-11,131.7977,132.7061,129.8158,130.0222,32759,EUR
2021-06-11,159.6,160.7,157.2,157.45,32759,USD
2021-06-14,792.4117,792.4117,766.8582,779.7614,25267,BRL
2021-06-14,112571.91,112571.91,108941.7175,110774.785,25267,CLP
2021-06-14,129.195,129.195,125.0288,127.1325,25267,EUR
2021-06-14,156.6,156.6,151.55,154.1,25267,USD
2021-06-15,778.2429,780.5126,760.3378,762.6074,19013,BRL
2021-06-15,112105.122,112432.065,109525.905,109852.848,19013,CLP
2021-06-15,127.2204,127.5914,124.2934,124.6644,19013,EUR
2021-06-15,154.3,154.75,150.75,151.2,19013,USD
2021-06-16,767.2731,779.9094,764.7458,775.1076,11288,BRL
2021-06-16,110771.496,112595.796,110406.636,111902.562,11288,CLP
2021-06-16,126.5557,128.6399,126.1388,127.8479,11288,EUR
2021-06-16,151.8,154.3,151.3,153.35,11288,USD
2021-06-17,763.65,764.1506,744.8779,748.6323,9829,BRL
2021-06-17,112563.594,112637.382,109796.544,110349.954,9829,CLP
2021-06-17,128.081,128.1649,124.9325,125.5622,9829,EUR
2021-06-17,152.55,152.65,148.8,149.55,9829,USD
2021-06-18,761.6287,768.4994,748.3963,762.9011,10929,BRL
2021-06-18,111945.6825,112955.55,110000.7525,112132.695,10929,CLP
2021-06-18,126.14,127.2779,123.9484,126.3507,10929,EUR
2021-06-18,149.65,151.0,147.05,149.9,10929,USD
2021-06-21,747.1877,771.7513,737.4123,763.7306,5284,BRL
2021-06-21,111340.35,115000.65,109883.7,113805.45,5284,CLP
2021-06-21,125.0679,129.1794,123.4316,127.8369,5284,EUR
2021-06-21,149.05,153.95,147.1,152.35,5284,USD
2021-06-22,761.9524,762.696,744.8494,749.8068,309,BRL
2021-06-22,113876.33,113987.465,111320.225,112061.125,309,CLP
2021-06-22,128.7084,128.834,125.8194,126.6568,309,EUR
2021-06-22,153.7,153.85,150.25,151.25,309,USD
2021-06-23,755.6834,757.9184,754.4417,760.6501,157,BRL
2021-06-23,111910.8895,112241.878,111727.007,112646.4195,157,CLP
2021-06-23,127.5626,127.9398,127.353,128.401,157,EUR
2021-06-23,152.15,152.6,151.9,153.15,157,USD
2021-06-24,748.1108,753.7616,744.4256,748.8479,61,BRL
2021-06-24,111661.6725,112505.094,111111.615,111771.684,61,CLP
2021-06-24,127.5703,128.5339,126.9418,127.696,61,EUR
2021-06-24,152.25,153.4,151.5,152.4,61,USD
2021-06-25,763.4591,776.0396,763.4591,775.7929,63,BRL
2021-06-25,113369.85,115237.98,113369.85,115201.35,63,CLP
2021-06-25,129.6341,131.7702,129.6341,131.7283,63,EUR
2021-06-25,154.75,157.3,154.75,157.25,63,USD
2021-06-28,780.5174,803.6621,776.5779,798.9839,39,BRL
2021-06-28,116410.325,119862.24,115822.765,119164.5125,39,CLP
2021-06-28,132.8864,136.8269,132.2157,136.0304,39,EUR
2021-06-28,158.5,163.2,157.7,162.25,39,USD
2021-06-29,806.3249,806.5727,790.466,791.4572,37,BRL
2021-06-29,118152.74,118189.05,115828.9,115974.14,37,CLP
2021-06-29,136.7331,136.7751,134.0438,134.2119,37,EUR
2021-06-29,162.7,162.75,159.5,159.7,37,USD
2021-06-30,787.0262,790.0074,785.2872,791.7464,36,BRL
2021-06-30,115901.28,116340.3,115645.185,116596.395,36,CLP
2021-06-30,133.5787,134.0847,133.2836,134.3799,36,EUR
2021-06-30,158.4,159.0,158.05,159.35,36,USD
2021-07-01,818.216,818.216,777.3304,787.4256,37,BRL
2021-07-01,119941.032,119941.032,113947.68,115427.52,37,CLP
2021-07-01,136.7638,136.7638,129.9298,131.6172,37,EUR
2021-07-01,162.1,162.1,154.0,156.0,37,USD
2021-07-02,782.1424,782.1424,777.5906,771.5216,7,BRL
2021-07-02,113489.9025,113489.9025,112829.4375,111948.8175,7,CLP
2021-07-02,130.3081,130.3081,129.5498,128.5386,7,EUR
2021-07-02,154.65,154.65,153.75,152.55,7,USD
2021-07-06,796.4249,796.4249,776.157,768.6215,30,BRL
2021-07-06,114401.125,114401.125,111489.775,110407.35,30,CLP
2021-07-06,129.5882,129.5882,126.2904,125.0642,30,EUR
2021-07-06,153.25,153.25,149.35,147.9,30,USD
2021-07-07,778.0287,796.7574,778.0287,783.4171,0,BRL
2021-07-07,111351.1256,114031.579,111351.1256,112122.3175,0,CLP
2021-07-07,126.1146,129.1504,126.1146,126.988,0,EUR
2021-07-07,148.72,152.3,148.72,149.75,0,USD
2021-07-08,785.0045,785.0045,785.0045,799.4637,2,BRL
2021-07-08,112348.25,112348.25,112348.25,114417.625,2,CLP
2021-07-08,126.0391,126.0391,126.0391,128.3606,2,EUR
2021-07-08,149.3,149.3,149.3,152.05,2,USD
2021-07-09,786.8511,793.1628,786.8511,795.7926,3,BRL
