"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.08.2022","897,26","921,42","925,09","896,01","11,49K","-2,47%"
"24.08.2022","920,00","916,74","924,73","906,89","9,59K","0,49%"
"23.08.2022","915,51","938,00","941,36","913,32","8,81K","-2,35%"
"22.08.2022","937,55","944,50","955,22","936,14","6,68K","-0,69%"
"19.08.2022","944,05","929,70","951,35","928,34","4,87K","1,69%"
"18.08.2022","928,40","897,60","930,38","892,05","6,64K","3,48%"
"17.08.2022","897,15","881,50","907,47","881,50","6,37K","1,83%"
"16.08.2022","881,05","881,01","886,28","875,76","6,88K","0,06%"
"15.08.2022","880,56","875,76","881,24","875,11","0,56K","0,64%"
"12.08.2022","874,93","884,67","887,57","874,85","7,94K","-1,01%"
"11.08.2022","883,90","887,58","889,00","878,89","9,23K","-0,26%"
"10.08.2022","886,20","903,75","905,82","884,16","10,54K","-1,85%"
"09.08.2022","902,90","905,90","906,50","894,50","7,65K","-0,28%"
"08.08.2022","905,45","918,14","918,14","900,80","4,67K","-1,33%"
"05.08.2022","917,69","902,40","921,65","897,60","5,43K","1,75%"
"04.08.2022","901,95","911,62","913,13","894,78","6,03K","-1,03%"
"03.08.2022","911,30","910,20","914,39","897,82","7,12K","0,25%"
"02.08.2022","909,00","891,70","911,25","887,45","5,86K","1,99%"
"01.08.2022","891,25","901,10","901,78","884,70","5,15K","-0,92%"
"29.07.2022","899,50","908,95","911,80","896,38","5,95K","-0,74%"
"28.07.2022","906,20","910,25","919,69","904,00","6,18K","-0,08%"
"27.07.2022","906,95","924,90","926,07","908,83","0,55K","-1,88%"
"26.07.2022","924,30","936,92","937,74","917,20","7,34K","-1,34%"
"25.07.2022","936,90","952,43","954,16","932,00","5,42K","-1,47%"
"22.07.2022","950,86","928,82","955,83","919,60","4,95K","2,42%"
"21.07.2022","928,37","927,46","933,15","918,37","5,21K","0,25%"
"20.07.2022","926,03","926,50","929,24","912,65","4,94K","0,00%"
"19.07.2022","926,05","946,47","946,47","921,70","5,34K","-1,96%"
"18.07.2022","944,55","948,00","952,00","936,05","4,07K","-2,76%"
"15.07.2022","971,31","1.049,75","1.051,63","955,67","2,58K","-7,43%"
"14.07.2022","1.049,30","1.009,25","1.061,63","1.009,25","7,37K","4,01%"
"13.07.2022","1.008,80","1.019,65","1.031,66","998,74","6,04K","-1,02%"
"12.07.2022","1.019,20","993,16","1.027,27","992,71","8,50K","2,60%"
"11.07.2022","993,35","974,10","1.000,95","973,65","8,82K","2,12%"
"08.07.2022","972,73","951,78","979,32","949,90","9,29K","2,38%"
"07.07.2022","950,13","970,00","985,52","941,38","8,25K","-2,00%"
"06.07.2022","969,55","953,30","994,42","950,82","9,24K","1,75%"
"05.07.2022","952,85","928,75","954,75","927,43","9,03K","2,64%"
"04.07.2022","928,30","932,58","933,11","925,00","4,94K","-0,39%"
"01.07.2022","931,89","916,75","940,41","916,63","9,88K","1,70%"
"30.06.2022","916,30","926,80","940,27","916,55","8,01K","-1,05%"
"29.06.2022","926,00","911,17","931,09","906,21","11,42K","1,72%"
"28.06.2022","910,35","920,59","920,97","906,40","7,92K","-1,06%"
"27.06.2022","920,14","917,87","921,47","917,54","0,45K","0,37%"
"24.06.2022","916,77","904,03","919,57","897,86","9,89K","1,56%"
